index,sanskrit,reference,hypothesis,bleu,chrf,ter,ref_len,hyp_len,src_len
0,रामः वनं गच्छति।,Rama goes to the forest.,Rama goes to the forest.,100.0,100.0,0.0,24,24,16
1,सीता रामं पश्यति।,Sita sees Rama.,Sita sees Rama.,100.0,100.0,0.0,15,15,17
2,लक्ष्मणः धनुः धारयति।,Lakshmana carries a bow.,Lakshmana carries a bow.,100.0,100.0,0.0,24,24,21
3,हनुमान् लङ्कां गच्छति।,Hanuman goes to Lanka.,Hanuman goes to Lanka.,100.0,100.0,0.0,22,22,22
4,राजा सभायां तिष्ठति।,The king stands in the court.,The king stands in the cort.,64.3459,86.3712,16.6667,29,28,20
5,बालकः पुस्तकं पठति।,The boy reads a book.,The boy reads a book.,100.0,100.0,0.0,21,21,19
6,गजः नदीं पिबति।,The elephant drinks water.,The elephant drinks water.,100.0,100.0,0.0,26,26,15
7,अश्वः शीघ्रं धावति।,The horse runs quickly.,The horse runs quickly.,100.0,100.0,0.0,23,23,19
8,ऋषिः वनं वसति।,The sage lives in the forest.,The sage lives in the forest.,100.0,100.0,0.0,29,29,14
9,कृषकः क्षेत्रे कार्यं करोति।,The farmer works in the field.,The farmer works in the field.,100.0,100.0,0.0,30,30,28
10,सूर्यः आकाशे प्रकाशते।,The sun shines in the sky.,The sun shines in the sky.,100.0,100.0,0.0,26,26,22
11,चन्द्रः रात्रौ दृश्यते।,The moon appears at night.,The moon appears at night.,100.0,100.0,0.0,26,26,23
12,विद्यार्थी विद्यालयं गच्छति।,The student goes to school.,The student goes to school.,100.0,100.0,0.0,27,27,28
13,माता भोजनं पचति।,The mother cooks food.,The mother cooks food.,100.0,100.0,0.0,22,22,16
14,पिता पुत्रं आह्वयति।,The father calls the son.,The father calls the son.,100.0,100.0,0.0,25,25,20
15,नदी समुद्रं गच्छति।,The river flows to the sea.,The fiver flows to the sea.,64.3459,84.0211,16.6667,27,27,19
16,वानरः वृक्षे उपविशति।,The monkey sits on the tree.,The monkey sits on the tree.,100.0,100.0,0.0,28,28,21
17,बालिका गीतं गायति।,The girl sings a song.,The girl sings a song.,100.0,100.0,0.0,22,22,18
18,गुरुः शिष्यं शिक्षयति।,The teacher teaches the student.,The teacher teaches the student.,100.0,100.0,0.0,32,32,22
19,पक्षी आकाशे उड्डयति।,The bird flies in the sky.,The bird flies in the sky.,100.0,100.0,0.0,26,26,20
